user_history_rto_rate,user_total_orders,orders_in_last_7days,payment_mode,order_value,address_length,pincode_rto_rate,is_rto
0.35367665723356584,7,2,COD,340.0,96,0.17584129729481282,1
0.2485580660782393,10,0,COD,99.0,69,0.13748764576606023,1
0.4159590873381714,3,1,COD,159.0,55,0.27955851916614816,0
0.15996757580999196,7,5,Prepaid,223.0,60,0.12274704564373923,0
0.5502830780616322,16,1,COD,644.0,60,0.3204739514317847,0
0.11094528759339801,11,1,COD,850.0,65,0.07178454941148366,0
0.5098966417920571,9,1,Prepaid,287.0,76,0.3362707581701196,0
0.17727037947274454,7,4,Prepaid,402.0,24,0.2504098148658081,0
0.19829047191334442,6,1,Prepaid,316.0,96,0.321665551183703,0
0.37623678821354994,10,2,Prepaid,295.0,49,0.058826880961952654,1
0.5434668040445325,7,4,COD,120.0,51,0.09350512111590036,0
0.08476376294265023,9,0,COD,350.0,32,0.04157034824986173,0
0.3579287927839609,6,1,COD,99.0,8,0.23527348707672727,0
0.2733207739503824,10,2,COD,392.0,62,0.19437953980531292,1
0.13437614109485027,12,2,COD,856.0,56,0.09458656386180893,1
0.35325485000480755,6,2,COD,135.0,43,0.12351902066274044,1
0.13279012143275798,9,1,Prepaid,282.0,55,0.1599421003913515,0
0.32643436842516804,6,1,COD,1330.0,46,0.136005295875624,1
0.1658104012585459,11,0,COD,538.0,32,0.16245149278653181,0
0.207734214505591,9,0,Prepaid,99.0,67,0.27806216834750486,0
0.26340848808284784,3,3,COD,303.0,41,0.06915048426801997,0
0.39001433036648914,9,0,COD,432.0,65,0.22954822855710513,0
0.15364547000727538,8,3,Prepaid,120.0,29,0.22455118106867727,0
0.30550235119832064,9,1,COD,488.0,53,0.1633366348499654,1
0.203313881265596,8,2,COD,575.0,108,0.008515497378408345,0
0.18387687608823067,6,0,COD,2302.0,32,0.11733790869054575,0
0.36782408723548077,4,1,Prepaid,696.0,51,0.07015066459644617,1
0.20209676646387698,6,2,COD,157.0,70,0.1987158791096508,0
0.18633950452881945,4,1,COD,411.0,118,0.11513022460928075,0
0.2835202997539891,5,0,COD,778.0,63,0.11835861991925836,0
0.10039930306621214,7,0,COD,1152.0,64,0.1301530894563618,0
0.20772938916523406,11,0,COD,703.0,82,0.28632825970535214,0
0.3096377073595142,12,2,COD,834.0,50,0.3831566034463523,1
0.0443858001226034,8,2,COD,289.0,56,0.2327757210667211,0
0.12457921344554526,8,0,COD,395.0,84,0.24305309841243758,0
0.21100332015818626,7,1,COD,225.0,45,0.25229787357063965,0
0.3581887554246956,3,0,COD,394.0,46,0.02263419357270035,0
0.6522422663601021,7,3,Prepaid,480.0,36,0.3786872350711141,0
0.16226602605678067,8,1,COD,986.0,66,0.49745937496664494,0
0.0694242954698856,4,3,COD,1430.0,43,0.06604033351764016,1
0.076848080809821,10,2,Prepaid,939.0,54,0.16768662054967542,0
0.1744335165862888,17,2,Prepaid,401.0,58,0.1772382982892761,0
0.5434537469656785,9,3,COD,439.0,65,0.17825268940249567,0
0.061653913446673224,11,1,COD,551.0,54,0.16759005010444414,1
0.23568650663126414,8,2,COD,439.0,48,0.2719319749788508,1
0.31329412667520323,9,1,Prepaid,245.0,68,0.2563067307521415,1
0.15258331470398612,9,1,COD,154.0,28,0.14851768460764697,1
0.38688633601837824,6,1,COD,665.0,68,0.2069799976283793,1
0.4845897602554896,7,1,COD,305.0,36,0.33743597327255803,0
0.09593877797328496,10,4,COD,620.0,44,0.18501994218582626,0
0.3662241584833629,7,2,Prepaid,112.0,62,0.07751771901486969,0
0.29837284269070247,8,0,COD,1086.0,10,0.12062027818469519,0
0.2237663665214278,10,2,COD,267.0,42,0.13753564398247367,1
0.1642916485213648,6,1,COD,1412.0,48,0.24571986669420057,0
0.46138582746288664,3,3,COD,875.0,59,0.2791079166053991,1
0.09832146075036968,10,2,Prepaid,323.0,45,0.03580485053176176,0
0.179247512983417,10,1,COD,546.0,66,0.15650954741353784,0
0.34301873259799726,10,2,COD,99.0,59,0.5904615626617661,0
0.2746698380360602,14,1,COD,123.0,76,0.14926896793732908,0
0.4432945779277498,17,2,Prepaid,197.0,91,0.11748198570998111,0
0.13272443189522465,9,2,COD,351.0,49,0.05370831882893535,0
0.4006430877209991,11,2,COD,291.0,33,0.3756367202380075,0
0.32259603850098684,9,1,COD,99.0,27,0.2967521352656391,0
0.2923618255131976,8,0,COD,512.0,74,0.2695063300856796,0
0.11357697325263676,9,1,COD,203.0,56,0.05229730539155443,0
0.34155895722546276,5,0,Prepaid,241.0,71,0.1958756653466333,1
0.16999587395941756,10,1,COD,715.0,80,0.5464333950592001,0
0.8014732049023443,11,3,COD,516.0,39,0.14884749756952864,1
0.13177062408757453,6,1,COD,201.0,54,0.3412600206717668,1
0.12549965919150205,6,1,Prepaid,480.0,51,0.1408472460660938,0
0.3370138954716539,10,2,COD,202.0,76,0.20028237108132918,1
0.03439862200520179,9,0,COD,655.0,65,0.2635400347843256,0
0.15937752033309405,7,2,COD,389.0,45,0.038282775710767186,0
0.2615158445906097,10,3,Prepaid,677.0,87,0.27909183402498433,0
0.2491194021961276,8,0,COD,177.0,57,0.19525385799890652,0
